match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1336045,2023,2023-07-06,"Headingley, Leeds",1,0.1,Australia,England,DA Warner,UT Khawaja,SCJ Broad,4,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,0.2,Australia,England,DA Warner,UT Khawaja,SCJ Broad,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,0.3,Australia,England,DA Warner,UT Khawaja,SCJ Broad,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,0.4,Australia,England,DA Warner,UT Khawaja,SCJ Broad,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,0.5,Australia,England,DA Warner,UT Khawaja,SCJ Broad,0,0,,,,,,caught,DA Warner,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,0.6,Australia,England,M Labuschagne,UT Khawaja,SCJ Broad,0,1,,,,1,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,1.1,Australia,England,M Labuschagne,UT Khawaja,OE Robinson,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,1.2,Australia,England,M Labuschagne,UT Khawaja,OE Robinson,1,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,1.3,Australia,England,UT Khawaja,M Labuschagne,OE Robinson,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,1.4,Australia,England,UT Khawaja,M Labuschagne,OE Robinson,0,1,,1,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,1.5,Australia,England,UT Khawaja,M Labuschagne,OE Robinson,1,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,1.6,Australia,England,M Labuschagne,UT Khawaja,OE Robinson,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,1.7,Australia,England,M Labuschagne,UT Khawaja,OE Robinson,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,2.1,Australia,England,UT Khawaja,M Labuschagne,SCJ Broad,0,0,,,,,,,,,
1336045,2023,2023-07-06,"Headingley, Leeds",1,2.2,Australia,England,UT Khawaja,M Labuschagne,SCJ Broad,0,0,,,,,,,,,
