match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,6.6,Australia,England,M Labuschagne,DA Warner,SCJ Broad,2,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,6.7,Australia,England,M Labuschagne,DA Warner,SCJ Broad,0,4,,,4,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,7.1,Australia,England,DA Warner,M Labuschagne,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,7.2,Australia,England,DA Warner,M Labuschagne,JM Anderson,3,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,7.3,Australia,England,M Labuschagne,DA Warner,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,7.4,Australia,England,M Labuschagne,DA Warner,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,7.5,Australia,England,M Labuschagne,DA Warner,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,7.6,Australia,England,M Labuschagne,DA Warner,JM Anderson,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,8.1,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,8.2,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,8.3,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,8.4,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,8.5,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,8.6,Australia,England,DA Warner,M Labuschagne,CR Woakes,1,0,,,,,,,,,
