match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1336047,2023,2023-07-27,"Kennington Oval, London",1,0.1,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,0.2,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,0.3,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,0.4,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,0.5,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,0.6,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,1.1,England,Australia,BM Duckett,Z Crawley,JR Hazlewood,2,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,1.2,England,Australia,BM Duckett,Z Crawley,JR Hazlewood,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,1.3,England,Australia,BM Duckett,Z Crawley,JR Hazlewood,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,1.4,England,Australia,BM Duckett,Z Crawley,JR Hazlewood,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,1.5,England,Australia,BM Duckett,Z Crawley,JR Hazlewood,1,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,1.6,England,Australia,Z Crawley,BM Duckett,JR Hazlewood,4,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,2.1,England,Australia,BM Duckett,Z Crawley,MA Starc,1,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,2.2,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,2.3,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,2.4,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
1336047,2023,2023-07-27,"Kennington Oval, London",1,2.5,England,Australia,Z Crawley,BM Duckett,MA Starc,0,0,,,,,,,,,
