version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,England
info,gender,male
info,season,2025/26
info,date,2025/12/26
info,date,2025/12/27
info,event,The Ashes
info,match_number,4
info,venue,Melbourne Cricket Ground
info,city,Melbourne
info,toss_winner,England
info,toss_decision,field
info,player_of_match,JC Tongue
info,umpire,CB Gaffaney
info,umpire,HDPK Dharmasena
info,reserve_umpire,PJ Gillespie
info,tv_umpire,Ahsan Raza
info,match_referee,JJ Crowe
info,winner,England
info,winner_wickets,4
info,player,Australia,TM Head
info,player,Australia,J Weatherald
info,player,Australia,M Labuschagne
info,player,Australia,SPD Smith
info,player,Australia,UT Khawaja
info,player,Australia,AT Carey
info,player,Australia,C Green
info,player,Australia,MG Neser
info,player,Australia,MA Starc
info,player,Australia,JA Richardson
info,player,Australia,SM Boland
info,player,England,Z Crawley
info,player,England,BM Duckett
info,player,England,JG Bethell
info,player,England,JE Root
info,player,England,HC Brook
info,player,England,BA Stokes
info,player,England,JL Smith
info,player,England,WG Jacks
info,player,England,AAP Atkinson
info,player,England,BA Carse
info,player,England,JC Tongue
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AT Carey,69d03465
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,BA Carse,cad40f5e
info,registry,people,BA Stokes,e087956b
info,registry,people,BM Duckett,5f26f677
info,registry,people,C Green,eaa76d3c
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,HC Brook,4ae1755b
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,J Weatherald,edc7ddb6
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JC Tongue,1f1b4c89
info,registry,people,JE Root,a343262c
info,registry,people,JG Bethell,3c55c703
info,registry,people,JJ Crowe,2e760301
ball,1,5.6,Australia,J Weatherald,TM Head,BA Carse,4,0,,,,,,"",""
ball,1,6.1,Australia,TM Head,J Weatherald,AAP Atkinson,0,0,,,,,,bowled,TM Head
ball,1,6.2,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,6.3,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,6.4,Australia,M Labuschagne,J Weatherald,AAP Atkinson,3,0,,,,,,"",""
ball,1,6.5,Australia,J Weatherald,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,6.6,Australia,J Weatherald,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,7.1,Australia,M Labuschagne,J Weatherald,BA Carse,0,0,,,,,,"",""
ball,1,7.2,Australia,M Labuschagne,J Weatherald,BA Carse,0,0,,,,,,"",""
ball,1,7.3,Australia,M Labuschagne,J Weatherald,BA Carse,1,0,,,,,,"",""
ball,1,7.4,Australia,J Weatherald,M Labuschagne,BA Carse,0,0,,,,,,"",""
ball,1,7.5,Australia,J Weatherald,M Labuschagne,BA Carse,0,0,,,,,,"",""
ball,1,7.6,Australia,J Weatherald,M Labuschagne,BA Carse,0,0,,,,,,"",""
ball,1,8.1,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,8.2,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,8.3,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,8.4,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,8.5,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,8.6,Australia,M Labuschagne,J Weatherald,AAP Atkinson,0,0,,,,,,"",""
ball,1,9.1,Australia,J Weatherald,M Labuschagne,JC Tongue,0,0,,,,,,"",""
ball,1,9.2,Australia,J Weatherald,M Labuschagne,JC Tongue,0,0,,,,,,caught,J Weatherald
ball,1,9.3,Australia,SPD Smith,M Labuschagne,JC Tongue,0,0,,,,,,"",""
ball,1,9.4,Australia,SPD Smith,M Labuschagne,JC Tongue,1,0,,,,,,"",""
ball,1,9.5,Australia,M Labuschagne,SPD Smith,JC Tongue,0,0,,,,,,"",""
ball,1,9.6,Australia,M Labuschagne,SPD Smith,JC Tongue,2,0,,,,,,"",""
ball,1,10.1,Australia,SPD Smith,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,10.2,Australia,SPD Smith,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,10.3,Australia,SPD Smith,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,10.4,Australia,SPD Smith,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,10.5,Australia,SPD Smith,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,10.6,Australia,SPD Smith,M Labuschagne,AAP Atkinson,0,0,,,,,,"",""
ball,1,11.1,Australia,M Labuschagne,SPD Smith,JC Tongue,0,0,,,,,,"",""
ball,1,11.2,Australia,M Labuschagne,SPD Smith,JC Tongue,0,0,,,,,,"",""
ball,1,11.3,Australia,M Labuschagne,SPD Smith,JC Tongue,0,0,,,,,,"",""
ball,1,11.4,Australia,M Labuschagne,SPD Smith,JC Tongue,0,0,,,,,,"",""
ball,1,11.5,Australia,M Labuschagne,SPD Smith,JC Tongue,0,0,,,,,,caught,M Labuschagne
ball,1,11.6,Australia,UT Khawaja,SPD Smith,JC Tongue,0,0,,,,,,"",""
ball,1,12.1,Australia,SPD Smith,UT Khawaja,AAP Atkinson,0,0,,,,,,"",""
ball,1,12.2,Australia,SPD Smith,UT Khawaja,AAP Atkinson,0,0,,,,,,"",""
ball,1,12.3,Australia,SPD Smith,UT Khawaja,AAP Atkinson,0,0,,,,,,"",""
ball,1,12.4,Australia,SPD Smith,UT Khawaja,AAP Atkinson,0,0,,,,,,"",""
ball,1,12.5,Australia,SPD Smith,UT Khawaja,AAP Atkinson,0,0,,,,,,"",""
ball,1,12.6,Australia,SPD Smith,UT Khawaja,AAP Atkinson,0,0,,,,,,"",""
ball,1,13.1,Australia,UT Khawaja,SPD Smith,JC Tongue,1,0,,,,,,"",""
ball,1,13.2,Australia,SPD Smith,UT Khawaja,JC Tongue,0,0,,,,,,"",""
ball,1,13.3,Australia,SPD Smith,UT Khawaja,JC Tongue,0,0,,,,,,"",""
ball,1,13.4,Australia,SPD Smith,UT Khawaja,JC Tongue,4,0,,,,,,"",""
ball,1,13.5,Australia,SPD Smith,UT Khawaja,JC Tongue,0,0,,,,,,"",""
ball,1,13.6,Australia,SPD Smith,UT Khawaja,JC Tongue,0,0,,,,,,"",""
ball,1,14.1,Australia,UT Khawaja,SPD Smith,BA Carse,2,0,,,,,,"",""
ball,1,14.2,Australia,UT Khawaja,SPD Smith,BA Carse,0,0,,,,,,"",""
ball,1,14.3,Australia,UT Khawaja,SPD Smith,BA Carse,2,0,,,,,,"",""
